学習地点,Tier_Factor
東京都世田谷区三宿１丁目,1.0
東京都世田谷区三宿２丁目,1.0
東京都世田谷区三軒茶屋１丁目,1.0
東京都世田谷区三軒茶屋２丁目,1.0
東京都世田谷区上北沢１丁目,1.05
東京都世田谷区上北沢３丁目,1.0
東京都世田谷区上北沢４丁目,1.0
東京都世田谷区上用賀１丁目,1.0
東京都世田谷区上用賀２丁目,1.0
東京都世田谷区上用賀３丁目,1.0
東京都世田谷区上用賀４丁目,1.0625
東京都世田谷区上用賀５丁目,1.0
東京都世田谷区上祖師谷２丁目,1.0
東京都世田谷区上祖師谷５丁目,1.0
東京都世田谷区上祖師谷６丁目,1.0
東京都世田谷区上野毛１丁目,1.0
東京都世田谷区上野毛２丁目,1.0
東京都世田谷区上野毛３丁目,1.0
東京都世田谷区上野毛４丁目,1.0
東京都世田谷区上馬１丁目,1.0
東京都世田谷区上馬２丁目,1.0
東京都世田谷区上馬３丁目,1.0
東京都世田谷区上馬４丁目,1.0
東京都世田谷区上馬５丁目,1.0
東京都世田谷区下馬１丁目,1.0
東京都世田谷区下馬２丁目,1.0
東京都世田谷区下馬４丁目,1.0
東京都世田谷区下馬６丁目,1.0214285714285714
東京都世田谷区世田谷１丁目,1.0
東京都世田谷区世田谷２丁目,1.0
東京都世田谷区世田谷３丁目,1.0
東京都世田谷区世田谷４丁目,1.0
東京都世田谷区中町４丁目,1.0
東京都世田谷区中町５丁目,1.0
東京都世田谷区代沢２丁目,1.0
東京都世田谷区代沢３丁目,1.0
東京都世田谷区代沢４丁目,1.05
東京都世田谷区代沢５丁目,1.0
東京都世田谷区代田１丁目,1.0
東京都世田谷区代田３丁目,1.022222222222222
東京都世田谷区代田５丁目,1.0
東京都世田谷区北沢２丁目,1.0
東京都世田谷区北沢４丁目,1.0
東京都世田谷区北烏山１丁目,1.0
東京都世田谷区北烏山３丁目,1.0
東京都世田谷区北烏山６丁目,1.0
東京都世田谷区北烏山７丁目,1.0
東京都世田谷区北烏山９丁目,1.0
東京都世田谷区千歳台１丁目,1.0
東京都世田谷区千歳台３丁目,1.0
東京都世田谷区千歳台４丁目,1.0
東京都世田谷区千歳台６丁目,1.01
東京都世田谷区南烏山２丁目,1.0
東京都世田谷区南烏山３丁目,1.0
東京都世田谷区南烏山４丁目,1.0
東京都世田谷区南烏山５丁目,1.0
東京都世田谷区南烏山６丁目,1.0
東京都世田谷区喜多見１丁目,1.0
東京都世田谷区喜多見７丁目,1.0
東京都世田谷区大蔵１丁目,1.0
東京都世田谷区大蔵２丁目,1.0
東京都世田谷区太子堂１丁目,1.0
東京都世田谷区太子堂２丁目,1.0
東京都世田谷区太子堂３丁目,1.25
東京都世田谷区太子堂４丁目,1.0
東京都世田谷区太子堂５丁目,1.0
東京都世田谷区奥沢１丁目,1.0
東京都世田谷区奥沢２丁目,1.0
東京都世田谷区奥沢５丁目,1.0
東京都世田谷区奥沢７丁目,1.0
東京都世田谷区奥沢８丁目,1.0
東京都世田谷区宮坂２丁目,1.0
東京都世田谷区宮坂３丁目,1.0
東京都世田谷区尾山台２丁目,1.0
東京都世田谷区尾山台３丁目,1.0
東京都世田谷区岡本１丁目,1.0
東京都世田谷区岡本２丁目,1.0
東京都世田谷区岡本３丁目,1.0
東京都世田谷区弦巻１丁目,1.0
東京都世田谷区弦巻２丁目,1.0083333333333333
東京都世田谷区弦巻３丁目,1.0
東京都世田谷区弦巻４丁目,1.025
東京都世田谷区弦巻５丁目,1.0076923076923077
東京都世田谷区成城１丁目,1.0
東京都世田谷区成城２丁目,1.0
東京都世田谷区成城３丁目,1.0333333333333334
東京都世田谷区成城４丁目,1.0
東京都世田谷区成城６丁目,1.0
東京都世田谷区成城８丁目,1.0
東京都世田谷区成城９丁目,1.0
東京都世田谷区新町１丁目,1.0
東京都世田谷区東玉川１丁目,1.0
東京都世田谷区東玉川２丁目,1.0
東京都世田谷区松原１丁目,1.0
東京都世田谷区松原２丁目,1.0
東京都世田谷区松原３丁目,1.0
東京都世田谷区松原４丁目,1.0
東京都世田谷区松原５丁目,1.0
東京都世田谷区松原６丁目,1.0
東京都世田谷区桜上水１丁目,1.0
東京都世田谷区桜上水４丁目,1.0
東京都世田谷区桜丘１丁目,1.05
東京都世田谷区桜丘２丁目,1.0
東京都世田谷区桜丘３丁目,1.0
東京都世田谷区桜丘４丁目,1.0
東京都世田谷区桜丘５丁目,1.0
東京都世田谷区桜新町１丁目,1.0
東京都世田谷区桜新町２丁目,1.0
東京都世田谷区桜２丁目,1.0
東京都世田谷区桜３丁目,1.0
東京都世田谷区梅丘１丁目,1.0
東京都世田谷区梅丘３丁目,1.0
東京都世田谷区池尻２丁目,1.0
東京都世田谷区池尻３丁目,1.0
東京都世田谷区池尻４丁目,1.0
東京都世田谷区深沢１丁目,1.0
東京都世田谷区深沢２丁目,1.0
東京都世田谷区深沢４丁目,1.0
東京都世田谷区深沢５丁目,1.0
東京都世田谷区深沢６丁目,1.0
東京都世田谷区深沢８丁目,1.0
東京都世田谷区瀬田１丁目,1.075
東京都世田谷区瀬田２丁目,1.02
東京都世田谷区瀬田３丁目,1.0
東京都世田谷区瀬田４丁目,1.0
東京都世田谷区瀬田５丁目,1.0
東京都世田谷区玉堤１丁目,1.0
東京都世田谷区玉堤２丁目,1.0
東京都世田谷区玉川台１丁目,1.0
東京都世田谷区玉川１丁目,1.025
東京都世田谷区玉川２丁目,1.0
東京都世田谷区玉川４丁目,1.0
東京都世田谷区用賀１丁目,1.0333333333333334
東京都世田谷区用賀２丁目,1.0
東京都世田谷区用賀３丁目,1.0125
東京都世田谷区砧１丁目,1.0
東京都世田谷区砧２丁目,1.0
東京都世田谷区砧３丁目,1.0
東京都世田谷区砧４丁目,1.0
東京都世田谷区砧５丁目,1.0
東京都世田谷区砧７丁目,1.0
東京都世田谷区砧８丁目,1.0
東京都世田谷区祖師谷３丁目,1.0
東京都世田谷区等々力１丁目,1.0
